value,date
56290.3,2013-07-27
56551.9,2013-07-28
56400.2,2013-07-29
57168.2,2013-07-31
57397.2,2013-08-03
57264.4,2013-08-04
57415.9,2013-08-05
57674.8,2013-08-06
58142.6,2013-08-07
58889.9,2013-08-11
59608.5,2013-08-12
59754.8,2013-08-13
59610.2,2013-08-14
60410.3,2013-08-17
59938.6,2013-08-18
60052.2,2013-08-19
59568.0,2013-08-20
59281.6,2013-08-21
59552.8,2013-08-24
61163.5,2013-08-25
60675.7,2013-08-26
60002.4,2013-08-27
58727.3,2013-08-28
58561.0,2013-08-31
59057.0,2013-09-01
58962.9,2013-09-03
58146.1,2013-09-04
57491.6,2013-09-07
57198.1,2013-09-08
57035.4,2013-09-09
58190.4,2013-09-10
59164.6,2013-09-11
59117.4,2013-09-14
59401.5,2013-09-15
59347.7,2013-09-16
60056.4,2013-09-17
60964.1,2013-09-18
62053.2,2013-09-21
61707.2,2013-09-22
62904.8,2013-09-23
63010.2,2013-09-24
63455.3,2013-09-25
64695.4,2013-09-28
65328.8,2013-09-29
65720.0,2013-09-30
