,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
71,20220501,2255,19,2449,9,26387516,25304792,48430776,3261532,312961943820,300998891770,575211986190,38748849400,11860.227534111205,11876.992972196027,11894.936412439194,11880.566985085536,-22043260.0
72,20220430,2449,19,2711,18,24427016,29901089,46128044,8200061,292201600460,357513186060,551798663820,97916122700,11962.230689986856,11962.325214136546,11956.527270963275,11940.901744511413,-21701028.0
73,20220427,1893,14,3756,14,22107203,54908928,51288785,25727346,266462658980,663869670520,619403813740,310928515760,12053.205418161673,12076.78859501156,12090.37755244466,12085.526262988806,-29181582.0
74,20220426,2349,21,3197,22,36048453,27809766,42240437,21617782,435860526290,336211157920,510690192070,261381492140,12090.96341221633,12090.078331102493,12089.679500359694,12091.041168793357,-6191984.0
75,20220425,1829,18,3016,16,31683525,49759990,44831598,36611917,381004812700,600250079890,538644597260,442610295330,12025.32902194437,12014.842684394163,12062.905958984316,12089.24119788647,-13148073.0
76,20220424,2436,24,3018,9,26901779,23660202,46589439,3972542,319725577520,282435104050,554885642340,47275039230,11884.923206008049,11910.11641801482,11937.138324093767,11900.450449611357,-19687660.0
77,20220420,1330,7,1543,8,18752102,18354788,32992511,4114379,226608900950,221558892690,398620398710,49547394930,12084.45330288839,12082.147936845426,12070.904479528721,12042.496554157991,-14240409.0
78,20220417,2094,22,3529,16,45949181,31444468,65175299,12218350,551242162440,376457046420,781147311870,146551896990,11996.77884226054,11985.327629567146,11972.12324978753,11994.409800832354,-19226118.0
79,20220416,1830,17,2977,19,25513925,33522021,49354920,9681026,306035229830,401885951520,591775113760,116146067590,11994.831443221692,11990.1949746854,11988.714866564877,11997.289087954106,-23840995.0
80,20220413,2047,31,2660,19,34591602,23346447,45821626,12116423,409801606020,277082574590,543222634950,143661545660,11846.852482287464,11855.158412536473,11868.29732978213,11856.762153318681,-11230024.0
81,20220412,4415,43,4345,27,64355324,113774523,156622039,21507808,752884471230,1326925283550,1828832259810,250977494970,11698.868476367239,11676.72360471568,11662.762880139695,11669.134063778141,-92266715.0
82,20220411,1506,23,3388,14,24243708,28767368,47138906,5872170,297267210200,352862301790,578143723870,71985788120,12261.623106498395,12264.682677828798,12266.061385594956,12258.805198078393,-22895198.0
83,20220410,2151,13,2707,20,40515947,21162961,38413845,23265063,494666657810,258758525440,469371773170,284053410080,12209.184146923679,12218.817803060329,12226.95280873031,12209.440828937364,2102102.0
84,20220409,2310,22,3032,15,33556397,15721016,45529571,3747842,401944054750,188294672090,545101150810,45137576030,11978.164841416079,11972.464023656186,11977.258472989277,12043.617641832287,-11973174.0
85,20220406,2985,27,3713,18,47223397,24519067,62757199,8985265,570396791080,295051874580,757360623050,108088042610,12078.690380533191,12068.107485963483,12033.568592964813,12029.477440008726,-15533802.0
